date,api_card_id,card_name,set,image_url,printing,market_price,low_price,median_price,last_updated
2026-04-12,15926,Shauntal,Paradox Rift,https://product-images.tcgplayer.com/fit-in/400x400/523924.jpg,Holofoil,1.96,1.0,,2026-04-11T08:25:47.773Z
2026-04-12,15973,Tulip,Paradox Rift,https://product-images.tcgplayer.com/fit-in/400x400/523925.jpg,Holofoil,4.06,2.0,,2026-04-11T08:25:47.773Z
2026-04-12,15935,Mela,Paradox Rift,https://product-images.tcgplayer.com/fit-in/400x400/523935.jpg,Holofoil,7.48,5.0,,2026-04-11T08:25:47.773Z
2026-04-12,15956,Parasol Lady,Paradox Rift,https://product-images.tcgplayer.com/fit-in/400x400/523936.jpg,Holofoil,12.03,9.95,,2026-04-11T08:25:47.773Z
2026-04-12,15958,Professor Sada’s Vitality,Paradox Rift,https://product-images.tcgplayer.com/fit-in/400x400/523937.jpg,Holofoil,7.35,5.99,,2026-04-11T08:25:47.773Z
2026-04-12,15936,Rika,Paradox Rift,https://product-images.tcgplayer.com/fit-in/400x400/523939.jpg,Holofoil,6.79,5.01,,2026-04-11T08:25:47.773Z
2026-04-12,15953,Tulip,Paradox Rift,https://product-images.tcgplayer.com/fit-in/400x400/523940.jpg,Holofoil,7.35,5.99,,2026-04-11T08:25:47.773Z
2026-04-12,17087,Nemona,Paldean Fates,https://product-images.tcgplayer.com/fit-in/400x400/534754.jpg,Holofoil,0.81,0.3,,2026-04-11T08:10:15.495Z
2026-04-12,17152,Iono,Paldean Fates,https://product-images.tcgplayer.com/fit-in/400x400/535101.jpg,Holofoil,28.37,21.87,,2026-04-11T08:10:15.495Z
2026-04-12,17126,Nemona,Paldean Fates,https://product-images.tcgplayer.com/fit-in/400x400/535104.jpg,Holofoil,6.06,4.97,,2026-04-11T08:10:15.495Z
2026-04-12,16231,Penny,Paldean Fates,https://product-images.tcgplayer.com/fit-in/400x400/490041.jpg,Holofoil,6.5,2.98,,2026-04-11T08:10:23.908Z
2026-04-12,20743,Bianca’s Devotion,Temporal Forces,https://product-images.tcgplayer.com/fit-in/400x400/542918.jpg,Foil,3.11,1.59,,2026-02-19T02:45:21.771Z
2026-04-12,20771,Eri,Temporal Forces,https://product-images.tcgplayer.com/fit-in/400x400/542920.jpg,Foil,2.95,1.5,,2026-02-19T02:45:24.076Z
2026-04-12,20820,Bianca’s Devotion,Temporal Forces,https://product-images.tcgplayer.com/fit-in/400x400/542930.jpg,Foil,21.0,15.5,,2026-02-19T02:45:26.234Z
2026-04-12,20824,Eri,Temporal Forces,https://product-images.tcgplayer.com/fit-in/400x400/542931.jpg,Foil,14.37,11.0,,2026-02-19T02:45:26.234Z
2026-04-12,20208,Carmine,Twilight Masquerade,https://product-images.tcgplayer.com/fit-in/400x400/550248.jpg,Foil,5.67,4.66,,2026-02-19T02:44:55.360Z
